path,subset,damage_type,location,lon,lat
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\82.1945_30.3954.jpg,test,damage,82.1945_30.3954,82.1945,30.3954
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\73.7768_25.9711.jpg,test,damage,73.7768_25.9711,73.7768,25.9711
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\90.2972_8.0797.jpg,test,damage,90.2972_8.0797,90.2972,8.0797
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\96.1024_24.2824.jpg,test,damage,96.1024_24.2824,96.1024,24.2824
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\86.1329_26.4735.jpg,test,damage,86.1329_26.4735,86.1329,26.4735
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\73.9082_28.1359.jpg,test,damage,73.9082_28.1359,73.9082,28.1359
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\92.5321_14.0178.jpg,test,damage,92.5321_14.0178,92.5321,14.0178
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\91.4733_26.6229.jpg,test,damage,91.4733_26.6229,91.4733,26.6229
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\94.5564_22.4697.jpg,test,damage,94.5564_22.4697,94.5564,22.4697
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\92.7838_21.2387.jpg,test,damage,92.7838_21.2387,92.7838,21.2387
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\89.9158_8.3094.jpg,test,damage,89.9158_8.3094,89.9158,8.3094
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\93.9805_35.7614.jpg,test,damage,93.9805_35.7614,93.9805,35.7614
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\87.9581_31.7416.jpg,test,damage,87.9581_31.7416,87.9581,31.7416
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\85.3986_8.4884.jpg,test,damage,85.3986_8.4884,85.3986,8.4884
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\96.0158_14.8078.jpg,test,damage,96.0158_14.8078,96.0158,14.8078
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\82.6212_16.9937.jpg,test,damage,82.6212_16.9937,82.6212,16.9937
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\94.1804_29.0227.jpg,test,damage,94.1804_29.0227,94.1804,29.0227
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\84.199_33.5399.jpg,test,damage,84.199_33.5399,84.199,33.5399
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\91.3352_25.8896.jpg,test,damage,91.3352_25.8896,91.3352,25.8896
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\76.5166_27.3117.jpg,test,damage,76.5166_27.3117,76.5166,27.3117
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\69.0005_26.2545.jpg,test,damage,69.0005_26.2545,69.0005,26.2545
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\88.185_36.9487.jpg,test,damage,88.185_36.9487,88.185,36.9487
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\78.1592_14.464.jpg,test,damage,78.1592_14.464,78.1592,14.464
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\77.9215_35.991.jpg,test,damage,77.9215_35.991,77.9215,35.991
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\69.4255_10.2646.jpg,test,notdamage,69.4255_10.2646,69.4255,10.2646
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\87.8712_25.3516.jpg,test,notdamage,87.8712_25.3516,87.8712,25.3516
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\91.0239_10.7385.jpg,test,notdamage,91.0239_10.7385,91.0239,10.7385
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\95.624_19.2517.jpg,test,notdamage,95.624_19.2517,95.624,19.2517
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\79.6522_31.8142.jpg,test,notdamage,79.6522_31.8142,79.6522,31.8142
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\71.1957_32.8146.jpg,test,notdamage,71.1957_32.8146,71.1957,32.8146
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\88.5351_15.4182.jpg,test,notdamage,88.5351_15.4182,88.5351,15.4182
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\73.5684_22.037.jpg,test,notdamage,73.5684_22.037,73.5684,22.037
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\87.4774_8.3402.jpg,test,notdamage,87.4774_8.3402,87.4774,8.3402
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\89.17_27.1358.jpg,test,notdamage,89.17_27.1358,89.17,27.1358
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\87.8088_34.1216.jpg,test,notdamage,87.8088_34.1216,87.8088,34.1216
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\68.0531_34.3401.jpg,test,notdamage,68.0531_34.3401,68.0531,34.3401
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\88.2308_23.9137.jpg,test,notdamage,88.2308_23.9137,88.2308,23.9137
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\78.8627_26.8467.jpg,test,notdamage,78.8627_26.8467,78.8627,26.8467
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\87.9946_28.9529.jpg,test,notdamage,87.9946_28.9529,87.9946,28.9529
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\85.2169_28.7948.jpg,test,notdamage,85.2169_28.7948,85.2169,28.7948
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\75.4878_18.4113.jpg,test,notdamage,75.4878_18.4113,75.4878,18.4113
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\71.4542_31.9891.jpg,test,notdamage,71.4542_31.9891,71.4542,31.9891
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\70.8492_30.9353.jpg,test,notdamage,70.8492_30.9353,70.8492,30.9353
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\79.711_31.6849.jpg,test,notdamage,79.711_31.6849,79.711,31.6849
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\87.5044_14.9072.jpg,test,notdamage,87.5044_14.9072,87.5044,14.9072
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\79.536_21.8566.jpg,test,notdamage,79.536_21.8566,79.536,21.8566
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\78.5975_15.3485.jpg,test,notdamage,78.5975_15.3485,78.5975,15.3485
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\93.0842_23.5327.jpg,test,notdamage,93.0842_23.5327,93.0842,23.5327
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\72.6001_12.4142.jpg,test,notdamage,72.6001_12.4142,72.6001,12.4142
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\77.9455_16.5856.jpg,test,notdamage,77.9455_16.5856,77.9455,16.5856
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\75.6395_34.9665.jpg,test,notdamage,75.6395_34.9665,75.6395,34.9665
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\93.623_30.3049.jpg,test,notdamage,93.623_30.3049,93.623,30.3049
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\76.1572_14.0622.jpg,test,notdamage,76.1572_14.0622,76.1572,14.0622
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\86.7687_28.5596.jpg,test,notdamage,86.7687_28.5596,86.7687,28.5596
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\82.1623_23.0788.jpg,test,notdamage,82.1623_23.0788,82.1623,23.0788
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\68.0008_17.6343.jpg,test,notdamage,68.0008_17.6343,68.0008,17.6343
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\90.1323_26.651.jpg,test,notdamage,90.1323_26.651,90.1323,26.651
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\77.086_10.0271.jpg,test,notdamage,77.086_10.0271,77.086,10.0271
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\75.6372_9.8176.jpg,test,notdamage,75.6372_9.8176,75.6372,9.8176
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\74.8042_20.9762.jpg,test,notdamage,74.8042_20.9762,74.8042,20.9762
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\92.4585_23.3647.jpg,test,notdamage,92.4585_23.3647,92.4585,23.3647
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\89.0139_24.2864.jpg,test,notdamage,89.0139_24.2864,89.0139,24.2864
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\76.3504_17.3141.jpg,test,notdamage,76.3504_17.3141,76.3504,17.3141
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\68.637_15.3079.jpg,test,notdamage,68.637_15.3079,68.637,15.3079
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\76.933_14.5755.jpg,test,notdamage,76.933_14.5755,76.933,14.5755
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\92.7632_25.7857.jpg,test,notdamage,92.7632_25.7857,92.7632,25.7857
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\95.7563_17.9903.jpg,test,notdamage,95.7563_17.9903,95.7563,17.9903
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\84.7126_31.4904.jpg,test,notdamage,84.7126_31.4904,84.7126,31.4904
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\89.373_8.8093.jpg,test,notdamage,89.373_8.8093,89.373,8.8093
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\85.6676_13.5593.jpg,test,notdamage,85.6676_13.5593,85.6676,13.5593
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\83.3979_16.3697.jpg,test,notdamage,83.3979_16.3697,83.3979,16.3697
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\80.7927_19.3095.jpg,test,notdamage,80.7927_19.3095,80.7927,19.3095
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\71.8074_33.9016.jpg,test,notdamage,71.8074_33.9016,71.8074,33.9016
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\95.6056_8.9647.jpg,test,notdamage,95.6056_8.9647,95.6056,8.9647
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\93.7212_17.8206.jpg,test,notdamage,93.7212_17.8206,93.7212,17.8206
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\96.6167_17.9429.jpg,test,notdamage,96.6167_17.9429,96.6167,17.9429
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\86.6111_12.7566.jpg,test,notdamage,86.6111_12.7566,86.6111,12.7566
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\76.1518_9.5946.jpg,test,notdamage,76.1518_9.5946,76.1518,9.5946
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\72.1357_9.0637.jpg,test,notdamage,72.1357_9.0637,72.1357,9.0637
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\94.4843_17.8902.jpg,test,notdamage,94.4843_17.8902,94.4843,17.8902
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\78.3794_35.2386.jpg,test,notdamage,78.3794_35.2386,78.3794,35.2386
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\77.6475_29.3229.jpg,test,notdamage,77.6475_29.3229,77.6475,29.3229
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\90.2928_30.6428.jpg,test,notdamage,90.2928_30.6428,90.2928,30.6428
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\70.0312_9.3675.jpg,test,notdamage,70.0312_9.3675,70.0312,9.3675
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\75.9409_10.5813.jpg,test,notdamage,75.9409_10.5813,75.9409,10.5813
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\73.4612_31.9235.jpg,test,notdamage,73.4612_31.9235,73.4612,31.9235
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\87.5832_17.221.jpg,test,notdamage,87.5832_17.221,87.5832,17.221
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\70.372_25.8455.jpg,test,notdamage,70.372_25.8455,70.372,25.8455
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\89.725_22.6886.jpg,test,notdamage,89.725_22.6886,89.725,22.6886
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\86.9835_10.1712.jpg,test,notdamage,86.9835_10.1712,86.9835,10.1712
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\70.8115_8.6356.jpg,test,notdamage,70.8115_8.6356,70.8115,8.6356
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\80.3479_34.2993.jpg,test,notdamage,80.3479_34.2993,80.3479,34.2993
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\92.889_22.9366.jpg,test,notdamage,92.889_22.9366,92.889,22.9366
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\93.7868_28.8695.jpg,test,notdamage,93.7868_28.8695,93.7868,28.8695
